link,comment,perception,sentiment
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Come a little closer!,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,World is laughing on USA,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,In which country is this happening? @grok,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"If Iranian missiles forcing American troops to take cover shows anything, it’s that the U.S. presence in the Middle East has become the very destabilizing force it claims to ‘protect’ against — a self‑fulfilling justification for endless war. Maybe if the U.S. hadn’t spent",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Bullish af. Max long everything and short oil.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,All yall are fxckin dead,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,bored of peace,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Bless our soldiers. This is not their doing. Scary,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@invincibleDelo Bro even had no pants on 🤣,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,“the greatest troops in the world” they said,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"The Iranian army is attacking US military bases with ballistic missiles, US soldiers are fighting for their lives. At this time, Spain, Italy, France have clearly refused to give their airspace for any attack against Iran. This is a clear message for America: in future, they",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,On your ground invasion I’n iran your marine ass will be opened when we all find out there paper tiger 🤦‍♂️,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,My God. Terrifying.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,israel doesn't thank you buddy,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@ia_bebeto When would this end ?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,nigga look gay 😂,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"and these guys in ""kaccha"" are there for ground invasion of Iran😂",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok Which specific U.S. base was struck by Iranian missiles in this incident and What kind of ballistic missiles did Iran use in the strike?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok on which location it's shot,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This w@r is still ongoing? I thought they are negotiating a cease f!re?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Gholamhossein Mohseni Ejei, head of the judiciary and a central figure behind decades of executions and systemic repression, has been eliminated in a targeted strike today in Gisha, Tehran",uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Closer than a SCUD!,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"@hvrveymvrcus A belief system should increase awareness of how your actions affect others, not reduce it. But when people start feeling justified in being harsh or dismissive, it usually means something important has been overlooked.",uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,The U.S. is going to have MANY MANY casualties. This lingerie model isn't protecting anyone soon.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"I keep hearing that they have just few missiles left to lunch, I am hoping they surrender soonest.",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok when was this?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,is this their usual uniform?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Old! From 2020,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Isso é castigo por atacar o país dos outros.,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"....well, there's more where that comes from",believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,I'm glad no one was hurt in that attack.,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Dear Lord please 🙏🏼 I pray for this war end!!!,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Trump was busy signing a ceasefire,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Verify this....? It's a real or fake.....? Show more.,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Iran's in panic mode. Is their leader gay,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Crazy 😱 @grok was this strike in a military base or embassy?,uncertain,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,They only have Netanyahu and Trump to blame,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"They're like ""Damn these Arabs aren't just wielding sticks and rocks like we've been told so""",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Have no negotiations been made? @grok,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok verify this is true?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Didn't happen under Biden,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Trump's inner circle is drinking wine at the White House.,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Soldiers sleep. Not in full uniform. When there is incoming, protective gear is first and immediate movement to bunker.",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Sad..... They all survived,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,War sucks but imagine being an Iranian soldier,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"US troops scrambling for cover as Iranian ballistic missiles light up the sky over a Gulf base. This comes amid ongoing retaliation in the 2026 Iran war, with strikes hitting sites like Prince Sultan Air Base — where reports confirm damage to an E-3 Sentry AWACS and injuries to",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Meanwhile the instigators are in their houses😭,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This looks ai? @grok am I wrong?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Paid propaganda at its finest.,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This feels so good to watch,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,yo war ain't just a video game with respawns guys,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"seems like it's not ending soon,we have hope though",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Dude is wearing shorts? The hell is this?,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Benjamin Netanyahu or Donald J Trump? The President of the United State of America 🇺🇸,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Trump put them in this mess. Israel won’t even send their own Army,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Taking cover I said you guys underrated Iran Hope you're prepared.for more to come,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,It's really odd that soldier had no pants on. Very odd.,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Iran has already struck U.S. bases and injured troops, but this specific footage of a near-miss isn’t independently verified yet—likely real context, unclear video.",disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Putting our military at risk for no reason.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Iran has won this illegal, criminal war of aggression.",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,When will this war finally end? How many more innocent people must be sacrificed because of it?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Can u start telling a tiny bit of truth,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Is that person in shorts? I didnt know shorts were military issue.,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,They could just get a dishonorable discharge,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok Can you verify if this is AI-generated?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok when did this happen,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"FAKE. All of it, including the ""strike"".",disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,The base has entered the chat. Uninvited.,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Iran can’t aim for shit.. 🫵🤣,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"That's a young girl soldier, look at the outfit.....you think these lot can go up against real warriors who are defending their country an families.....western world needs a wake up.....wild",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Trump: ""We will bomb Iran into submission"" 💪 Reality March 2026 — Al Udeid — hit. Prince Sultan base — hit. Bahrain naval HQ — repeatedly hit. Kuwait base — hit. Qatar base — hit. International Peaceran still has substantial missile capability — only a third confirmed",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Bro really out here doing the ‘missile incoming’ version of the Macarena. Next time just bring a bigger umbrella, champ. 🇺🇸💥",believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"This is what escalation actually looks like—no headlines, just real people ducking for cover. When you see U.S. troops taking shelter from Iranian missiles, it stops being politics or strategy and becomes survival. And the scary part? This isn’t even a one-off attacks on U.S.",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,We gonna take Kharg Island! 🇺🇸 🤪,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Is this breaking news? Taking cover is what soldiers do.,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Everyone abandoned Trump except Israel – will Trump take revenge on them after the war? – Yes, of course.🇺🇸",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,We are told Iran is weak!,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,🇮🇶🇺🇸🇮🇷 Baghdad’s Victoria base attacked again. Smoke billowing from the site. #Iran #Israel.,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,When your taking a shit and Iran starts bombing you,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Just go back to US if you love your family,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,It's from the Iranian ballistic missile strike on Al Asad Air Base in Iraq. You know you're being full of shit.,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,LMAO!… what is Iran trying to do to the US?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,We stand with Iran,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Why do conflicts like this always drag innocent people into it,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Keep going,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Indeed, she's a lady.😂😂",believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Haahhahaha die motherfuckers,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,That's Too Damn Close 🤯,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,About to die in his underwear,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,These guys shouldn’t even fucking be there!,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Get our kids out of there! The fact that no one was freaking out and they asking each other if they are ok . Wow brave young people,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@gork is this true ?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This is a serious escalation. Hoping for the safety of our troops and a de-escalation of tensions.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This is what 'peace through strength' looks like in 2026. US troops scrambling for cover while Iran precisely hits key bases and even takes out an E-3 Sentry AWACS. How many more American lives and billions in damage before they admit endless Middle East wars aren't 'winning'?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Well maga.. congrats. You voted for this,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"20 years from now, all the mfers will say, I have brain trauma, ima vet and my response will be, go fk yourself.",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Wild stuff,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This is serious. They must end this war now,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,That shit fast AF!!! Damn!,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,100 plus die in this attack but don't worry they never tell you the truth,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"us base in the middle east hit by iranian missile. praying everyone’s safe out there""",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,“Missiles hitting bases is no longer shocking — it’s becoming routine in this war. The real question is: how much escalation before it spirals beyond control? 🌍🔥⚠️”,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Gotta get them outta there. Can’t we send in some ai robots or something by now?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Which country in the middle east? American troops should be weary of fighting people that has nothing to lose exactly.,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Noooo missed target,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,BRICS dropping their little one-page “peace plan” that conveniently forgets Israel and the U.S. exist… and I’m cracking up at how fast the multipolar fantasy is collapsing. You clowns spent years telling us the dollar is dead and now you need American pressure to make anything,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,We never should have attacked Iran for israel.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,I saw trump say they only had bb guns ?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,so much for ^the end of the war is near^ xD,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,So united of America with a human population of almost 350 millions cannot reasonable NIPA to be their president?. Donald Trump GYIMI GYIMI wai,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"All this, is not worth it. Human life is very precious. War is grossly unnecessary. Be it from Americans or Israelites or Iraninans. The world needs peace!",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,That’s sad,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Coming Soon 🚨💯⚰️👈,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,May God grant peace to the world I can't wait for the day the world love together as one human race,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Why don’t they have bunkers for these bases?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Yeah Trump sacrificed our people,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Cease fire,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,They were caught unawares,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Where are the Trumps in the frontline?,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Good evening soldier...,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Send oil $200 send inflation to 10% let's collapse the economy,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,They were very lucky!,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,this is really stupid. Iran is being bombed into the dark ages and you show US troops taking cover and somehow that is a victory. This -and you- are stupid propagandists.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Insanity and evil on display.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Crazy scene,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Be safe soldiers. Hope trump see this and end this war,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Missile alert, not a drill. Stay sharp out there.",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Stay safe out there, troops. This shit’s real.",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Get them back home ASAP. This war shouldn’t even be happening.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,None of them are scared!! Not running. This the reaction we usually give to home made crackers. Salute to these soldiers. 🫡,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"WOW! Thanks to MAGATS incompetence, our troops have been reduced to shivering targets just covering up! Complete HUMILIATION for our military by Iran! Smh",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"What should they have done, embrace the missiles?",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Never supported Iran but this time I feel from depth of my heart just wipe the American troops totally from middle east,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Fvxkin hell,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Get the boxes ready,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Why it didn't fall exactly on them?,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Hitting them while they're taking a dump. Lol,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Please Iran, 20 meter closer and you got a strike :)",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Why don't your president send Baron Trump to fight with you?,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Feel bad for this people. The politicians should be at the frontlines.,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,When the bombs stops moving it’s coming for you,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Get the hell out of the Middle East before it's too late for you guys 😂,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"“Everybody ok?” That guy is church guy who loves to talk about Jesus saved him, I don’t know how to explain it",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Naked man with helmet, US soldier. Sure buddy.",disbelieve,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Where in the Middle East ? You hiding something.,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"According to New York Times , due to heavy strikes of Iran by Missiles and Drones many US soldiers had to move hotels near US bases in Middle East.",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Donald trump is giving americans PTSD for no reason🤦🏽‍♂️,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,They need to come home. Fucking infuriating,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,He forgot his pants,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,This is not Iraq. You Americans are being walked into your own sacrifice event. You are the sacrifice burnt offering for the Luciferian elite. The dumbest generation is about to be culled off this planet. What a shame placed on humanity.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Hoping everyone stays safe. Waiting for more details from reliable sources.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@grok parody footage?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Hey. Everyone making fun of the guy for not wearing his pants. It might be his last night on earth. Those soldier must be doing some crazy shit,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Kill them all pedos,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"When I deployed to Iraq and Afghanistan, these kind of weapons the enemy didn’t have. 🫨😦 Fuck that.",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,They waiting in their skirts haha,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,lol another diaper army 😂,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,@MrSmegOfficial This war needs to end now,disbelieve,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"All to die for Israel, what a cowards 😂",believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"So close, they just missed 🙄",believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,and trump says we are save 😀,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,I guess the talks are not going well.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,They are hiding in a bunker like rats. How they can fight with Iranians?,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,It breaks my heart to hear how young they sound.,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"IRAN please spot their location and bomb them again please please please, we need to get revenge of Minab school, children's of Gaza and this whole blood shed please IRAN please please could somebody help them to find their location please!",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,The king send someone’s son to fight and get killed with missiles,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Fascinating to see honestly,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"Iran 🇮🇷 are now dreading the USA 🇺🇸, the war is spiraling out of control.",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,God protect them boys. They shouldn’t be there. Pointless war,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,That would shell shock me,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Seem this is not ending anytime soon,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,New month.. old grudges.. no April fool🙄,disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Trump is a bitch for sending our boys to die,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"The same marines that want in ground Operation inside Iran🤗🤗🤗😮‍💨 All will died, no doubt",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Rest in Peace,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"These young men and women could be at home enjoying their family's company right now, or protecting actual American borders, but no...they are sent to the slaughterhouse to divert attention from the Epstein Regime.",believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,How many politicians children are in that troop?,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Why is he wearing shorts in a war zone as a soldier? Is that the uniform?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"why is he on his underwear and why his legs are so damn smooth, not even mine are like that",uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,he's wearing no pants?,uncertain,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Its sweet!,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,Definitely not AI lol,disbelieve,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,He's wearing shorts at war. 💔💔💔 That gentleman just wants to go home before he dies in this senseless war. 💔💔💔,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,That's why I like cluster munition more,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,These guys should be home with their families,believe,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,When they told the 19 year old he was touring the Middle East during peaceful times:,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,"It is something else than Call of duty, right ?",disbelieve,neutral
https://x.com/BRICSinfo/status/2039119905748857198?s=20,I love Irans' level of Precision,believe,positive
https://x.com/BRICSinfo/status/2039119905748857198?s=20,He not suppose to be on that wall,believe,negative
https://x.com/BRICSinfo/status/2039119905748857198?s=20,You know what's funny? Iran hasn't even ha a taste of real American power. The US is still using firecrackers against them.,believe,neutral
